id_encuestado,edad,region,zona,medio_informacion,interes_politica,confianza_instituciones,ingreso_hogar,participacion_anterior
101402,40,Maule,Urbana,Redes sociales,3,33,460000,Sí
103726,82,Metropolitana,Rural,Redes sociales,7,18,2280000,Sí
102875,47,Coquimbo,Urbana,Televisión,9,62,750000,Sí
103978,54,Metropolitana,Urbana,Televisión,5,20,1040000,Sí
104846,19,Metropolitana,Urbana,Redes sociales,3,72,710000,Sí
101716,70,Metropolitana,Urbana,Prensa digital,6,71,1810000,Sí
103964,47,METROPOLITANA,Urbana,Prensa digital,7,30,2000000,Sí
101706,,Metropolitana,Rural,Redes sociales,9,62,760000,Sí
101019,52,Metropolitana,Urbana,Radio,7,25,600000,Sí
101343,,Metropolitana,Urbana,Televisión,3,77,800000,No
102423,62,Metropolitana,Urbana,Prensa digital,8,18,1100000,Sí
104195,53,Valparaíso,Rural,Redes sociales,8,44,940000,Sí
100180,47,Metropolitana,Urbana,Prensa digital,9,38,360000,Sí
103773,50,Valparaíso,Rural,Redes sociales,10,42,470000,Sí
100106,28,Biobío,Urbana,Redes sociales,3,28,1380000,Sí
101820,49,biobío,Urbana,Redes sociales,10,29,1030000,No
100552,38,Metropolitana,Rural,Prensa digital,3,52,1850000,Sí
101919,57,Valparaíso,Rural,Prensa digital,4,38,570000,No
102753,48,Metropolitana,Urbana,Redes sociales,10,26,780000,Sí
103688,26,Metropolitana,Rural,Prensa digital,1,31,510000,Sí
103132,77,Metropolitana,Urbana,Prensa digital,5,84,560000,Sí
102186,55,Metropolitana,Urbana,Televisión,8,45,1010000,Sí
102976,72,Metropolitana,Rural,Prensa digital,8,29,570000,Sí
101339,50,O'HIGGINS,Urbana,Televisión,9,54,430000,Sí
102111,76,Metropolitana,Rural,Redes sociales,3,64,930000,Sí
101896,62,Biobío,Urbana,Redes sociales,4,82,2030000,Sí
103239,,Biobío,Urbana,Redes sociales,2,61,1010000,Sí
103625,70,Metropolitana,Urbana,Redes sociales,3,33,580000,Sí
103649,44,Maule,Urbana,Radio,9,62,430000,No
100462,52,Maule,Urbana,Radio,7,30,580000,Sí
103060,66,Coquimbo,Urbana,Televisión,1,46,280000,No
104333,52,Metropolitana,Rural,Prensa digital,7,44,1370000,No
101916,18,Metropolitana,Urbana,Televisión,2,41,2220000,Sí
103352,48,Metropolitana,Urbana,Redes sociales,10,43,400000,Sí
103491,44,Coquimbo,Rural,Redes sociales,6,29,770000,Sí
100927,36,Metropolitana,Urbana,Redes sociales,6,30,610000,Sí
103238,71,Maule,Rural,Redes sociales,4,54,910000,Sí
103590,46,O'Higgins,Rural,Redes sociales,6,45,1380000,Sí
101282,71, Metropolitana ,Urbana,Prensa digital,9,30,1100000,No
101078,26,Coquimbo,Urbana,Redes sociales,5,78,740000,Sí
102289,63,Metropolitana,Urbana,Radio,8,47,1660000,Sí
104187,48,Valparaíso,Rural,Redes sociales,8,61,810000,Sí
100513,42,Coquimbo,Rural,Televisión,5,51,760000,Sí
104259,41,Coquimbo,Urbana,Prensa digital,9,67,800000,No
100205,26,Biobío,Urbana,Redes sociales,2,52,660000,Sí
101906,70,valparaiso,Urbana,Televisión,5,59,660000,No
104686,76,Metropolitana,Urbana,Redes sociales,4,52,300000,Sí
103561,45,Coquimbo,Urbana,Redes sociales,3,28,1270000,Sí
101243,44,Biobío,Urbana,Redes sociales,9,40,470000,No
104668,62,Valparaíso,Urbana,Prensa digital,3,54,310000,Sí
103769,71,Coquimbo,Urbana,Redes sociales,6,62,670000,Sí
102439,27,Maule,Urbana,Redes sociales,7,25,2910000,Sí
101512,45,Valparaíso,Urbana,Redes sociales,8,38,630000,No
104144,49,metropolitana,Urbana,Prensa digital,5,62,1120000,Sí
101238,27,Metropolitana,Urbana,Radio,4,53,3990000,Sí
102907,63,Coquimbo,Urbana,Prensa digital,1,42,1000000,Sí
101069,39,Metropolitana,Urbana,Radio,8,46,960000,No
101783,38,Metropolitana,Urbana,Redes sociales,7,54,1630000,Sí
100671,48,Maule,Rural,Redes sociales,2,61,3030000,Sí
103012,38,Coquimbo,Urbana,Televisión,3,58,680000,Sí
101513,39,O'Higgins,Urbana,Prensa digital,3,29,1430000,Sí
101366,42,Metropolitana,Urbana,Televisión,3,61,560000,No
101113,39,Maule,Urbana,Prensa digital,7,61,1790000,No
104509,51,Biobío,Urbana,Radio,9,41,2150000,Sí
100546,35,O'Higgins,Urbana,Televisión,1,62,940000,Sí
102725,52,Biobío,Rural,Redes sociales,9,97,280000,Sí
104490,47,Valparaíso,Urbana,Prensa digital,7,39,590000,No
104607,35,Metropolitana,Rural,Televisión,8,68,610000,No
100460,56,Metropolitana,Urbana,Radio,3,36,760000,Sí
101831,53,Coquimbo,Rural,Redes sociales,4,27,1070000,Sí
101759,34,Maule,Urbana,Televisión,6,45,1610000,Sí
100414,55,Metropolitana,Urbana,Prensa digital,9,40,700000,No
104081,46,Metropolitana,Rural,Televisión,2,54,930000,Sí
101281,65,Metropolitana,Urbana,Redes sociales,6,0,1250000,Sí
101130,68,Valparaíso,Urbana,Redes sociales,5,50,970000,Sí
100253,21,Valparaíso,Urbana,Radio,9,60,650000,Sí
100192,42,Metropolitana,Urbana,Redes sociales,5,60,1150000,No
102847,56,Biobío,Urbana,Prensa digital,6,29,1280000,Sí
100541,40,Valparaíso,Rural,Redes sociales,2,51,790000,No
103589,82,Biobío,Urbana,Redes sociales,5,79,760000,Sí
103945,60,Valparaíso,Urbana,Redes sociales,2,35,390000,Sí
100174,32,Maule,Urbana,Redes sociales,9,32,450000,Sí
103606,72,Metropolitana,Rural,Redes sociales,3,45,380000,No
103231,47,Metropolitana,Urbana,Televisión,4,52,580000,Sí
102544,58,Coquimbo,Rural,Radio,3,82,1670000,Sí
103495,48,Metropolitana,Urbana,Radio,10,29,930000,Sí
102146,56,Metropolitana,Urbana,Prensa digital,4,71,530000,No
102774,51,Metropolitana,Urbana,Televisión,3,56,910000,Sí
102887,52,Valparaíso,Urbana,Redes sociales,3,1,1170000,Sí
101694,,Valparaíso,Urbana,Prensa digital,4,61,560000,No
101737,46,Metropolitana,Urbana,Televisión,10,21,1980000,Sí
104278,48,O'Higgins,Urbana,Prensa digital,2,93,280000,Sí
102999,48,Metropolitana,Urbana,Redes sociales,6,43,630000,Sí
102815,37,Valparaíso,Urbana,Televisión,10,61,1090000,Sí
101634,60,Metropolitana,Rural,Prensa digital,9,69,320000,Sí
102624,58,Metropolitana,Urbana,Televisión,10,53,1270000,Sí
103597,27,Metropolitana,Urbana,Redes sociales,1,32,640000,Sí
101119,33,O'Higgins,Urbana,Redes sociales,9,35,670000,Sí
104265,60,Metropolitana,Urbana,Redes sociales,6,68,1810000,Sí
102928,38,Biobío,Urbana,Redes sociales,1,78,1020000,No
104618,20,O'Higgins,Urbana,Prensa digital,5,65,630000,No
102891,32, Biobío ,Urbana,Radio,9,30,1050000,Sí
101824,41,Metropolitana,Urbana,Radio,9,39,2360000,Sí
101218,39,Coquimbo,Urbana,Televisión,2,72,1430000,No
100986,35,O'Higgins,Rural,Redes sociales,1,53,540000,Sí
102056,47,Maule,Urbana,Prensa digital,5,50,370000,Sí
104308,26,Metropolitana,Rural,Redes sociales,4,32,1360000,No
101495,58,Metropolitana,Urbana,Redes sociales,9,63,530000,Sí
100321,62,Valparaíso,Urbana,Redes sociales,1,46,1370000,No
102921,71, Maule ,Urbana,Redes sociales,6,48,670000,No
102807,64,Valparaíso,Urbana,Televisión,3,72,590000,Sí
100709,52,Maule,Rural,Redes sociales,7,72,1090000,Sí
103336,58,Maule,Urbana,Prensa digital,9,53,1130000,Sí
101005,22,Metropolitana,Urbana,Radio,9,26,660000,No
103164,22,Metropolitana,Rural,Prensa digital,2,30,340000,No
101625,63,O'Higgins,Rural,Redes sociales,7,33,770000,Sí
101953,33,Valparaíso,Urbana,Radio,10,38,970000,Sí
100891,36,Valparaíso,Rural,Redes sociales,8,27,570000,Sí
100561,33,Metropolitana,Rural,Redes sociales,2,9,1030000,No
100716,69,Metropolitana,Urbana,Redes sociales,3,40,700000,Sí
100139,42,Valparaíso,Urbana,Radio,4,44,470000,No
100531,58,Metropolitana,Urbana,Televisión,5,35,690000,Sí
100913,40,Metropolitana,Urbana,Prensa digital,9,36,390000,Sí
102127,,Metropolitana,Urbana,Televisión,6,41,630000,Sí
102174,26,Coquimbo,Urbana,Televisión,1,26,660000,No
102913,75,Valparaíso,Urbana,Redes sociales,7,74,900000,Sí
104369,31,Metropolitana,Rural,Redes sociales,7,71,640000,No
103829,58,Valparaíso,Urbana,Redes sociales,10,32,2520000,Sí
103768,73,Metropolitana,Urbana,Redes sociales,6,48,1830000,Sí
101236,41,Metropolitana,Urbana,Televisión,2,55,2280000,Sí
101891,61,Metropolitana,Urbana,Redes sociales,1,62,440000,No
100713,73,Metropolitana,Urbana,Televisión,6,50,490000,Sí
103532,63,Metropolitana,Urbana,Televisión,7,53,1140000,Sí
102836,30,Metropolitana,Rural,Radio,3,53,580000,No
104732,39,Maule,Urbana,Televisión,10,58,1010000,No
101466,49,Metropolitana,Urbana,Televisión,5,75,830000,Sí
100732,42,Maule,Urbana,Redes sociales,10,28,360000,Sí
100976,70,Metropolitana,Urbana,Televisión,6,60,1090000,Sí
102368,60,Metropolitana,Rural,Radio,5,32,970000,Sí
100458,63,Biobío,Rural,Redes sociales,9,51,1780000,Sí
102086,52,Metropolitana,Urbana,Radio,8,63,3290000,Sí
100688,63,Maule,Urbana,Televisión,7,40,870000,Sí
102832,50,Coquimbo,Urbana,Redes sociales,8,31,320000,Sí
102898,40,Valparaíso,Urbana,Televisión,3,46,720000,No
104756,67,Valparaíso,Urbana,Radio,8,45,740000,Sí
103774,33,Metropolitana,Urbana,Prensa digital,9,43,910000,Sí
101294,32,Maule,Urbana,Prensa digital,9,24,750000,Sí
