id_cliente,edad,genero,region,canal_preferido,categoria_frecuente,frecuencia_compra,monto_total,satisfaccion
1077,21.0,F,Biobío,Tienda,Tecnología,8.0,279164.0,4
1078,19.0,F,Valparaíso,Online,Vestuario,8.0,116148.0,5
1079,23.0,F,Metropolitana,Tienda,Deportes,7.0,143587.0,5
1080,71.0,M,Valparaíso,Online,Hogar,4.0,352584.0,2
1081,59.0,M,Metropolitana,Online,Vestuario,7.0,105178.0,1
1082,21.0,M,Coquimbo,Online,Deportes,4.0,148292.0,4
1083,71.0,F,Biobío,Online,Deportes,5.0,308148.0,5
1084,46.0,M,Coquimbo,Online,Vestuario,7.0,187185.0,2
1085,35.0,M,Metropolitana,Online,Hogar,2.0,71799.0,5
1086,43.0,F,Metropolitana,Tienda,Vestuario,9.0,46534.0,4
1087,61.0,F,Coquimbo,Online,Deportes,6.0,98996.0,4
1088,51.0,F,Metropolitana,Online,Tecnología,6.0,209190.0,3
1089,27.0,M,Coquimbo,Tienda,Tecnología,2.0,366834.0,2
1090,53.0,M,Biobío,Tienda,Vestuario,0.0,301536.0,4
1091,31.0,No informa,Coquimbo,Online,Deportes,1.0,83665.0,3
1092,48.0,F,Biobío,Online,Tecnología,7.0,127676.0,3
1093,65.0,M,Coquimbo,Tienda,Deportes,10.0,357874.0,5
1094,32.0,M,Metropolitana,Online,Vestuario,5.0,34765.0,5
1095,25.0,F,Coquimbo,Tienda,Tecnología,3.0,168086.0,3
1096,31.0,M,Metropolitana,Tienda,Deportes,4.0,82996.0,5
1097,40.0,M,Coquimbo,Online,Tecnología,8.0,377222.0,4
1098,74.0,M,Coquimbo,Online,Vestuario,8.0,345119.0,1
1099,,F,Valparaíso,Tienda,Deportes,4.0,186473.0,4
1100,38.0,F,Metropolitana,Online,Tecnología,3.0,114077.0,3
1101,33.0,M,Valparaíso,Online,Vestuario,1.0,422125.0,3
1102,62.0,M,Metropolitana,Tienda,Tecnología,1.0,91591.0,4
1103,35.0,F,Valparaíso,Tienda,Tecnología,4.0,204886.0,5
1104,64.0,F,Biobío,Tienda,Hogar,3.0,152141.0,5
1105,70.0,No informa,Coquimbo,Tienda,Hogar,7.0,322491.0,3
1106,41.0,F,Metropolitana,Tienda,Vestuario,2.0,36302.0,2
1107,43.0,M,Metropolitana,Tienda,Hogar,10.0,219913.0,5
1108,42.0,M,Coquimbo,Tienda,Vestuario,5.0,255562.0,4
1109,62.0,M,Metropolitana,Tienda,Hogar,5.0,353250.0,5
1110,58.0,M,Metropolitana,Tienda,Tecnología,5.0,112248.0,4
1111,46.0,F,Valparaíso,Online,Vestuario,6.0,101939.0,3
1112,32.0,M,Metropolitana,Tienda,Vestuario,6.0,89179.0,5
1113,62.0,M,Biobío,Tienda,Tecnología,5.0,95469.0,4
1114,18.0,F,Biobío,Tienda,Vestuario,1.0,377036.0,3
1115,42.0,F,Coquimbo,Tienda,Vestuario,4.0,228346.0,2
1116,24.0,No informa,Metropolitana,Tienda,Hogar,8.0,38721.0,4
1117,26.0,M,Coquimbo,Online,Vestuario,6.0,194700.0,2
1118,41.0,F,Biobío,Online,Deportes,4.0,61505.0,2
1119,18.0,No informa,Metropolitana,Online,Tecnología,5.0,149801.0,1
1120,61.0,No informa,Metropolitana,Online,Hogar,3.0,147032.0,5
1008,56.0,M,Biobío,Online,Deportes,8.0,119408.0,3
1037,59.0,F,Valparaíso,Tienda,Vestuario,7.0,187804.0,1
