edad,ingreso_mensual,confianza_mercado,apoyo_redistribucion,valoracion_orden_publico,preferencia_politica
57,1980000,7,3,8,Derecha
49,610000,3,6,6,Izquierda
38,1370000,6,6,9,Derecha
58,1310000,7,8,8,Derecha
43,600000,4,7,1,Izquierda
46,890000,6,7,2,Izquierda
36,900000,5,4,9,Derecha
67,1120000,8,3,4,Derecha
26,3690000,5,6,7,Centro
32,2280000,5,8,6,Centro
57,2430000,5,4,3,Centro
18,1660000,7,5,7,Derecha
35,650000,6,7,7,Izquierda
44,590000,5,8,3,Centro
31,1980000,5,5,4,Centro
36,1410000,7,2,5,Derecha
48,770000,5,4,3,Centro
31,590000,3,4,8,Centro
18,2330000,6,6,8,Derecha
32,510000,7,8,9,Izquierda
41,580000,5,4,5,Izquierda
54,2220000,3,5,5,Centro
27,1040000,6,5,10,Derecha
29,750000,8,2,5,Centro
60,1390000,5,8,10,Centro
51,1950000,2,6,3,Centro
62,910000,6,5,7,Derecha
63,1050000,4,4,4,Centro
38,690000,6,3,7,Centro
45,1020000,6,8,7,Derecha
56,1000000,6,3,6,Derecha
35,460000,3,8,1,Izquierda
20,1120000,7,5,6,Derecha
65,1270000,8,5,7,Centro
52,3350000,8,3,5,Derecha
22,1030000,6,5,7,Centro
53,630000,2,6,3,Centro
42,1290000,4,7,4,Izquierda
42,2380000,5,5,4,Centro
54,850000,4,3,4,Centro
35,430000,6,6,6,Izquierda
39,2060000,4,5,5,Izquierda
56,640000,8,5,7,Centro
26,4220000,5,7,1,Centro
77,2710000,5,9,5,Centro
60,1760000,5,7,3,Izquierda
42,2140000,4,5,8,Centro
64,2540000,9,2,6,Derecha
24,2120000,6,5,3,Centro
18,620000,8,4,3,Derecha
52,730000,7,5,5,Centro
65,620000,5,7,6,Izquierda
29,2360000,5,8,4,Izquierda
47,2330000,1,8,8,Izquierda
47,670000,4,7,6,Izquierda
30,1290000,7,6,6,Centro
33,1020000,7,6,7,Centro
48,1840000,8,5,6,Derecha
62,710000,6,4,7,Derecha
41,3440000,6,4,5,Derecha
61,390000,6,6,6,Izquierda
43,1330000,7,4,6,Derecha
48,1750000,2,8,5,Izquierda
63,3060000,5,4,7,Centro
19,640000,4,5,8,Izquierda
27,1520000,8,4,4,Derecha
43,1050000,6,5,4,Centro
65,830000,8,5,7,Derecha
53,800000,4,7,4,Izquierda
42,730000,7,5,6,Derecha
35,1290000,5,5,3,Izquierda
44,1000000,7,4,4,Derecha
51,920000,6,7,6,Centro
30,370000,6,6,7,Centro
56,1880000,3,8,6,Izquierda
45,1380000,4,4,7,Centro
57,470000,6,4,9,Derecha
32,750000,3,6,6,Centro
28,2330000,3,6,4,Izquierda
52,2350000,4,6,5,Centro
21,370000,5,5,8,Derecha
41,2490000,5,4,6,Derecha
26,3650000,1,9,2,Izquierda
45,2360000,4,7,5,Izquierda
33,1260000,4,8,4,Izquierda
40,590000,5,9,8,Centro
42,1570000,5,7,3,Centro
18,650000,5,5,7,Centro
40,2050000,5,2,4,Derecha
46,1100000,5,6,2,Centro
53,4220000,2,8,5,Izquierda
32,1300000,3,6,6,Izquierda
52,1280000,8,4,7,Derecha
42,510000,3,7,6,Izquierda
31,1290000,6,5,5,Centro
29,930000,5,6,5,Izquierda
37,1590000,5,7,6,Centro
28,860000,6,8,5,Centro
60,690000,7,3,4,Derecha
54,530000,5,4,7,Centro
72,490000,6,6,1,Centro
45,830000,9,5,7,Derecha
35,1000000,2,7,3,Izquierda
45,2120000,10,4,8,Derecha
30,740000,5,5,8,Centro
38,2070000,10,3,6,Derecha
53,520000,4,6,3,Izquierda
36,700000,6,5,7,Centro
32,1680000,7,3,6,Derecha
48,630000,5,3,3,Centro
18,1270000,4,6,5,Izquierda
53,700000,6,2,5,Centro
18,2500000,5,5,2,Izquierda
56,2270000,5,8,4,Izquierda
35,670000,6,6,4,Izquierda
49,1500000,4,7,5,Izquierda
51,410000,4,7,3,Izquierda
58,550000,4,5,4,Izquierda
58,1410000,6,5,4,Izquierda
26,910000,1,8,4,Izquierda
24,2410000,6,8,4,Izquierda
44,960000,6,1,9,Derecha
40,3750000,5,2,3,Derecha
59,4920000,5,5,5,Derecha
47,870000,5,3,5,Centro
62,450000,6,6,5,Izquierda
21,820000,4,4,8,Centro
46,630000,7,3,7,Derecha
85,1100000,10,1,5,Derecha
26,350000,6,6,8,Centro
62,350000,6,6,6,Izquierda
18,1370000,6,5,5,Derecha
36,490000,8,5,5,Centro
76,1250000,5,6,5,Centro
22,750000,5,3,5,Derecha
47,350000,7,4,4,Centro
48,590000,9,1,8,Derecha
32,3280000,7,5,7,Centro
36,2470000,7,1,8,Derecha
18,950000,8,5,8,Centro
38,630000,6,6,7,Centro
46,350000,4,6,5,Izquierda
46,1500000,4,8,3,Centro
57,890000,5,6,7,Izquierda
41,1150000,5,8,6,Centro
72,1530000,4,3,5,Derecha
35,500000,10,7,8,Derecha
56,1670000,3,6,2,Centro
54,1170000,4,10,6,Izquierda
49,710000,7,7,5,Centro
39,840000,4,7,3,Izquierda
52,1300000,6,4,4,Centro
61,1410000,3,6,4,Centro
46,700000,2,7,4,Izquierda
53,2290000,8,4,6,Derecha
27,740000,5,6,8,Derecha
61,1320000,10,2,5,Derecha
19,3020000,5,10,7,Izquierda
59,1940000,7,7,7,Derecha
50,2360000,3,4,7,Centro
73,1470000,5,4,5,Izquierda
35,1620000,5,7,9,Centro
44,410000,7,3,7,Derecha
34,2740000,5,7,4,Izquierda
38,1150000,5,8,3,Izquierda
64,720000,10,3,5,Derecha
50,1360000,4,4,5,Centro
26,760000,6,4,9,Centro
73,1350000,5,6,1,Centro
29,3380000,7,6,6,Derecha
38,850000,7,7,5,Derecha
63,2390000,6,3,5,Derecha
58,4360000,5,4,4,Centro
42,3500000,5,6,5,Derecha
24,1990000,6,8,6,Centro
48,820000,5,7,6,Derecha
34,850000,4,7,6,Izquierda
68,2580000,4,5,3,Centro
54,5500000,6,4,3,Derecha
38,1290000,5,8,6,Centro
52,660000,5,4,8,Derecha
48,1010000,7,4,6,Derecha
24,1440000,6,6,4,Izquierda
46,2540000,7,2,10,Derecha
28,1180000,4,10,2,Izquierda
48,870000,1,9,4,Izquierda
32,400000,6,6,4,Izquierda
74,2410000,8,2,5,Derecha
34,1430000,6,4,8,Derecha
46,1480000,5,4,3,Centro
18,1510000,7,7,8,Izquierda
43,1480000,5,6,6,Derecha
21,930000,5,7,6,Centro
46,1550000,1,5,6,Izquierda
55,570000,4,6,4,Izquierda
45,730000,8,4,7,Derecha
43,850000,3,3,5,Izquierda
51,1300000,4,7,4,Izquierda
18,3070000,6,4,6,Centro
34,1910000,9,3,7,Derecha
43,830000,8,4,6,Derecha
43,1070000,5,6,6,Derecha
59,920000,7,6,8,Centro
48,1170000,9,3,4,Derecha
33,870000,6,5,8,Centro
18,2410000,8,3,5,Derecha
40,1820000,5,2,5,Derecha
23,850000,5,6,2,Centro
67,1970000,8,2,6,Derecha
39,3630000,6,4,6,Derecha
25,650000,7,6,8,Derecha
43,1730000,5,4,8,Derecha
39,640000,3,5,10,Centro
59,2300000,5,4,4,Derecha
18,970000,8,4,6,Centro
50,950000,5,6,6,Centro
47,2530000,5,6,5,Centro
41,1370000,9,6,5,Derecha
42,1590000,7,4,5,Centro
35,4290000,5,5,5,Centro
39,490000,5,7,5,Centro
66,1140000,4,4,3,Centro
34,1440000,10,4,6,Derecha
32,730000,7,6,4,Centro
21,970000,5,4,9,Centro
53,4280000,8,3,8,Derecha
43,1030000,4,8,3,Izquierda
25,400000,6,5,5,Centro
18,390000,4,7,8,Izquierda
48,1060000,4,6,7,Izquierda
59,2030000,8,2,5,Derecha
48,780000,5,3,5,Centro
24,990000,7,5,7,Centro
55,610000,4,9,6,Izquierda
41,3760000,6,6,5,Centro
39,1330000,5,5,7,Derecha
60,1080000,5,6,6,Derecha
31,1930000,6,7,4,Izquierda
44,450000,8,6,8,Derecha
61,2080000,3,6,5,Izquierda
35,1050000,6,3,4,Centro
63,400000,6,5,6,Derecha
33,2100000,4,8,7,Izquierda
43,910000,6,2,8,Derecha
54,1560000,3,5,3,Izquierda
29,1540000,3,7,1,Izquierda
57,1320000,4,7,3,Izquierda
58,350000,5,6,4,Centro
49,1910000,8,2,5,Derecha
34,940000,3,6,5,Centro
49,1190000,5,5,5,Centro
36,1560000,7,10,3,Izquierda
70,1210000,7,4,7,Derecha
54,1900000,1,9,1,Izquierda
50,2090000,6,7,6,Izquierda
43,1910000,7,4,8,Derecha
45,1870000,6,6,4,Centro
35,1440000,9,1,6,Derecha
55,1490000,8,4,4,Derecha
33,2060000,6,6,6,Centro
65,820000,4,8,9,Centro
40,1560000,8,6,9,Derecha
31,930000,8,7,5,Izquierda
51,1170000,7,6,5,Centro
35,1240000,4,3,7,Derecha
33,850000,9,4,2,Derecha
18,2190000,5,2,7,Centro
25,3250000,5,5,7,Centro
58,1180000,4,7,8,Izquierda
48,620000,4,6,4,Centro
60,1250000,4,7,4,Izquierda
43,990000,6,6,4,Izquierda
33,820000,5,6,6,Centro
18,1420000,5,7,4,Izquierda
63,570000,5,4,4,Centro
31,2400000,7,6,4,Izquierda
41,640000,6,3,6,Centro
24,1040000,1,9,5,Izquierda
48,790000,6,5,10,Derecha
41,700000,7,7,1,Izquierda
37,720000,7,4,5,Centro
40,350000,8,4,7,Derecha
31,1980000,7,4,4,Izquierda
31,890000,2,7,5,Izquierda
70,1490000,4,4,3,Centro
29,860000,5,8,8,Izquierda
47,1050000,3,9,3,Izquierda
57,1690000,6,5,1,Centro
48,1080000,6,4,5,Centro
58,350000,8,3,9,Derecha
45,1810000,7,5,8,Centro
25,1640000,7,6,5,Derecha
59,380000,7,5,5,Centro
40,970000,7,6,5,Derecha
54,1000000,6,7,5,Centro
61,1170000,7,6,2,Centro
69,710000,1,9,5,Izquierda
44,3010000,5,6,9,Centro
37,1980000,9,4,6,Derecha
49,4050000,4,6,1,Izquierda
42,1850000,8,4,7,Derecha
31,1890000,4,10,5,Izquierda
28,1920000,6,5,5,Derecha
67,780000,7,3,7,Centro
40,790000,10,2,7,Derecha
18,1450000,7,7,8,Izquierda
51,1250000,6,7,8,Centro
31,940000,4,9,5,Izquierda
55,710000,2,6,7,Centro
62,550000,7,6,8,Derecha
62,660000,2,7,3,Izquierda
31,3000000,6,5,6,Centro
32,1100000,4,5,6,Centro
36,990000,8,4,4,Izquierda
72,1200000,8,2,5,Derecha
44,570000,6,4,5,Centro
40,880000,2,7,4,Izquierda
76,850000,8,5,6,Centro
46,620000,6,7,4,Derecha
42,2190000,7,4,5,Derecha
49,990000,5,7,3,Izquierda
55,520000,5,6,6,Izquierda
23,570000,4,5,4,Centro
52,1130000,4,2,5,Derecha
27,970000,6,3,7,Derecha
37,1080000,7,6,5,Izquierda
44,1280000,7,4,3,Derecha
37,810000,4,4,7,Centro
45,1050000,7,9,8,Centro
18,1920000,5,6,3,Izquierda
25,3350000,10,2,7,Derecha
34,500000,5,6,5,Izquierda
44,700000,6,4,4,Derecha
45,810000,4,8,6,Izquierda
31,2730000,8,2,4,Derecha
18,1480000,3,9,7,Izquierda
53,1370000,7,2,8,Derecha
46,990000,4,9,4,Izquierda
58,720000,5,7,3,Centro
53,660000,3,5,4,Centro
26,1900000,9,5,8,Derecha
26,1490000,4,9,3,Izquierda
25,570000,5,8,5,Izquierda
35,390000,7,3,7,Derecha
40,2130000,8,7,6,Centro
32,1500000,6,6,5,Centro
18,2590000,4,8,2,Izquierda
35,930000,3,7,3,Izquierda
55,1110000,7,6,7,Derecha
56,1120000,6,7,7,Centro
33,780000,8,6,6,Derecha
19,1650000,5,7,5,Centro
36,750000,1,8,7,Izquierda
18,1410000,7,3,5,Derecha
51,1830000,2,8,4,Izquierda
50,500000,8,6,6,Derecha
37,1810000,8,7,7,Centro
18,660000,6,8,5,Izquierda
59,810000,7,6,4,Centro
62,1730000,5,7,4,Izquierda
39,2920000,6,4,1,Izquierda
48,390000,3,8,7,Izquierda
32,910000,3,4,8,Centro
30,570000,7,5,6,Centro
55,960000,5,6,6,Centro
36,620000,3,8,8,Izquierda
70,1190000,2,7,3,Izquierda
67,1680000,3,8,9,Centro
50,860000,7,5,4,Derecha
41,1310000,7,4,6,Derecha
57,780000,6,4,9,Derecha
50,1850000,5,8,4,Centro
67,530000,3,5,5,Centro
55,1090000,3,8,6,Centro
45,470000,7,3,7,Derecha
63,480000,6,5,4,Centro
61,740000,6,5,7,Centro
58,810000,7,7,7,Centro
27,1010000,8,2,8,Derecha
50,1480000,5,5,6,Centro
22,1750000,4,4,3,Izquierda
24,2390000,4,8,9,Izquierda
45,5500000,3,6,8,Centro
37,930000,3,7,3,Izquierda
24,1710000,4,9,5,Izquierda
72,1690000,3,3,4,Centro
52,860000,5,7,8,Izquierda
38,900000,7,6,4,Centro
37,3190000,3,8,4,Izquierda
69,2310000,3,7,6,Izquierda
57,700000,8,7,7,Derecha
59,2800000,8,4,7,Derecha
40,1080000,3,4,6,Izquierda
45,1950000,8,8,7,Derecha
53,2470000,5,7,5,Izquierda
53,1960000,7,8,4,Izquierda
54,390000,6,10,8,Centro
35,760000,4,7,5,Izquierda
52,1050000,4,7,3,Centro
29,620000,5,9,3,Izquierda
39,1520000,6,9,7,Izquierda
42,1600000,10,4,10,Derecha
26,830000,7,4,8,Derecha
43,920000,8,4,7,Centro
27,680000,5,5,8,Centro
50,970000,6,4,4,Derecha
60,1040000,3,6,5,Centro
34,480000,4,6,5,Izquierda
37,980000,1,9,8,Izquierda
18,750000,8,3,3,Derecha
42,1940000,6,4,6,Derecha
37,1230000,5,6,6,Centro
19,1220000,8,4,5,Centro
38,750000,4,6,5,Izquierda
67,1150000,3,4,4,Centro
29,1680000,6,5,5,Centro
47,1500000,4,5,3,Izquierda
64,1810000,7,7,7,Derecha
54,2020000,5,6,6,Izquierda
42,640000,7,3,5,Derecha
64,3260000,4,9,7,Izquierda
29,520000,3,9,5,Izquierda
38,3570000,6,5,6,Centro
39,3330000,7,9,5,Izquierda
43,1700000,6,3,6,Derecha
32,500000,4,3,6,Centro
18,780000,8,7,8,Centro
56,2060000,8,3,6,Centro
27,650000,5,4,4,Centro
44,2500000,6,8,2,Izquierda
73,670000,4,6,5,Centro
41,900000,5,8,5,Izquierda
44,990000,8,5,7,Derecha
21,2310000,5,5,5,Izquierda
34,1700000,4,7,3,Izquierda
35,800000,5,6,5,Derecha
34,350000,5,4,6,Izquierda
54,1290000,8,6,7,Centro
45,760000,3,8,1,Izquierda
47,880000,5,5,6,Centro
68,1100000,7,5,4,Izquierda
47,880000,6,10,2,Izquierda
41,1090000,7,5,5,Derecha
19,410000,4,8,4,Izquierda
43,470000,1,8,4,Izquierda
31,940000,5,6,7,Centro
53,4590000,7,4,5,Centro
46,1440000,4,7,4,Izquierda
42,1140000,4,8,3,Izquierda
67,2900000,5,4,8,Derecha
44,1280000,3,5,3,Centro
50,1250000,7,6,6,Derecha
43,760000,7,5,4,Centro
34,2020000,5,7,7,Izquierda
54,1250000,3,6,5,Centro
47,1140000,4,6,8,Centro
44,490000,7,7,5,Izquierda
47,1070000,6,10,8,Izquierda
53,1320000,5,4,7,Derecha
38,830000,4,8,4,Izquierda
27,350000,6,4,3,Centro
53,1780000,6,5,3,Centro
31,690000,5,5,6,Centro
49,1890000,4,8,8,Izquierda
46,350000,5,4,5,Centro
41,460000,8,4,4,Derecha
49,660000,6,7,6,Derecha
48,2750000,5,4,8,Centro
49,1860000,8,5,7,Centro
32,2540000,7,4,1,Centro
28,1440000,2,10,3,Izquierda
31,1120000,7,4,7,Derecha
48,2190000,4,8,3,Izquierda
30,3410000,8,4,5,Derecha
41,1680000,10,4,3,Centro
69,650000,4,6,6,Izquierda
52,670000,5,6,7,Centro
20,1530000,2,9,3,Izquierda
34,1100000,9,3,7,Derecha
41,510000,5,5,6,Centro
60,1200000,3,7,3,Izquierda
80,670000,5,4,9,Centro
36,1360000,4,6,10,Centro
39,2370000,7,4,8,Derecha
43,750000,5,3,10,Derecha
49,590000,10,3,6,Derecha
35,1290000,4,5,3,Izquierda
71,1550000,4,8,2,Centro
54,750000,2,10,5,Izquierda
56,830000,7,6,9,Derecha
50,1320000,5,3,9,Derecha
18,880000,4,5,7,Izquierda
55,970000,7,5,3,Centro
35,470000,5,6,5,Centro
83,5500000,6,6,8,Derecha
49,3020000,9,4,6,Derecha
40,570000,5,10,5,Izquierda
41,2010000,2,8,5,Izquierda
64,1190000,8,5,6,Derecha
43,2270000,5,8,9,Centro
45,1110000,7,7,6,Centro
54,1160000,4,5,6,Centro
61,3110000,6,5,10,Derecha
54,680000,5,4,4,Centro
45,1160000,7,7,7,Derecha
18,2720000,6,6,6,Centro
30,790000,5,6,6,Centro
70,1880000,4,5,5,Izquierda
33,530000,2,7,2,Izquierda
41,1790000,6,6,6,Derecha
35,1970000,4,6,2,Izquierda
49,770000,2,7,3,Izquierda
66,1570000,7,5,6,Derecha
60,750000,5,6,4,Izquierda
72,1560000,7,4,8,Derecha
41,350000,5,5,4,Centro
18,1180000,6,3,5,Centro
32,2530000,9,3,1,Centro
37,580000,5,5,3,Centro
48,1520000,4,6,2,Izquierda
56,350000,7,4,4,Centro
25,490000,6,6,4,Derecha
59,470000,7,4,8,Derecha
61,1190000,7,4,3,Derecha
35,520000,6,5,5,Centro
18,2620000,5,8,9,Centro
53,1290000,5,8,6,Izquierda
51,550000,4,4,5,Derecha
19,1330000,5,7,5,Izquierda
42,710000,8,5,7,Derecha
41,2880000,3,5,4,Izquierda
44,490000,6,6,3,Izquierda
52,670000,4,7,6,Izquierda
56,430000,4,6,5,Centro
35,350000,4,6,5,Izquierda
38,1390000,2,5,3,Izquierda
23,780000,6,3,7,Centro
45,1010000,4,9,4,Izquierda
62,1400000,3,8,7,Izquierda
31,1720000,7,7,6,Centro
68,840000,3,8,6,Centro
63,2120000,1,7,6,Izquierda
26,1040000,5,5,4,Izquierda
30,2640000,7,7,5,Centro
36,830000,1,10,3,Izquierda
25,740000,6,4,6,Centro
45,350000,7,10,4,Izquierda
47,2210000,4,7,7,Izquierda
52,890000,5,7,6,Izquierda
32,590000,5,5,5,Izquierda
28,790000,4,5,7,Izquierda
51,530000,6,5,7,Centro
18,1150000,5,7,5,Izquierda
40,1360000,5,6,8,Centro
52,1630000,6,8,5,Centro
37,1950000,7,3,5,Derecha
49,590000,3,8,2,Izquierda
39,500000,5,4,5,Derecha
72,1710000,1,10,3,Izquierda
18,430000,6,4,4,Centro
38,780000,4,7,10,Izquierda
24,2600000,5,6,4,Izquierda
32,830000,4,8,4,Izquierda
34,640000,5,7,4,Centro
54,1300000,3,7,3,Izquierda
49,520000,3,7,3,Centro
18,860000,6,4,3,Derecha
37,420000,8,5,9,Derecha
35,2170000,4,10,10,Izquierda
72,1490000,7,3,5,Derecha
36,2090000,6,4,5,Derecha
54,920000,7,3,5,Derecha
30,1190000,4,6,8,Centro
33,950000,6,3,6,Derecha
48,700000,4,7,3,Izquierda
52,2030000,5,6,5,Centro
59,1350000,3,5,7,Centro
39,1780000,5,5,4,Izquierda
46,620000,8,3,7,Derecha
45,510000,9,2,6,Derecha
34,1360000,8,3,3,Derecha
24,1440000,3,5,3,Centro
29,1610000,7,7,3,Derecha
35,1760000,5,4,3,Derecha
54,2000000,2,7,5,Izquierda
18,1400000,2,7,5,Izquierda
23,770000,7,5,6,Derecha
43,1030000,5,5,8,Centro
40,5500000,6,4,7,Derecha
31,1170000,7,7,5,Centro
51,380000,5,7,6,Izquierda
63,680000,10,6,9,Derecha
31,900000,5,6,4,Centro
67,640000,6,5,4,Centro
32,1540000,8,6,5,Centro
39,4060000,8,3,8,Derecha
49,930000,6,5,6,Derecha
35,1840000,5,6,8,Centro
50,3360000,6,5,6,Centro
69,2340000,3,8,5,Izquierda
60,840000,4,5,6,Centro
28,5330000,7,1,6,Derecha
18,1820000,6,8,1,Izquierda
57,1330000,6,6,8,Derecha
37,1020000,6,6,5,Izquierda
54,1160000,7,5,4,Centro
50,790000,7,7,8,Derecha
58,3510000,1,10,5,Izquierda
35,800000,4,6,6,Centro
46,1390000,6,2,6,Derecha
39,1110000,6,5,8,Izquierda
43,3370000,6,5,1,Izquierda
39,1350000,6,4,5,Derecha
70,1160000,3,5,5,Centro
28,1240000,6,8,7,Izquierda
42,770000,6,7,5,Centro
36,1510000,5,8,6,Izquierda
53,2170000,4,7,1,Izquierda
35,710000,5,8,9,Centro
71,1760000,6,6,4,Centro
30,1990000,5,3,6,Derecha
54,1270000,4,6,5,Izquierda
74,680000,4,8,5,Izquierda
68,950000,6,3,2,Derecha
27,930000,8,7,4,Centro
53,950000,6,7,2,Izquierda
31,2090000,6,4,5,Centro
54,590000,6,5,6,Centro
40,1450000,4,4,5,Centro
18,1640000,3,9,2,Centro
46,1060000,5,5,5,Centro
35,1550000,3,10,4,Izquierda
71,1620000,6,1,3,Derecha
38,2850000,4,8,5,Centro
18,1000000,4,5,6,Centro
26,690000,4,10,6,Izquierda
57,2470000,5,5,4,Derecha
37,620000,8,4,6,Derecha
26,660000,7,5,4,Centro
33,3700000,5,5,7,Derecha
33,420000,8,6,4,Izquierda
50,350000,5,4,8,Centro
42,400000,5,6,2,Derecha
59,610000,7,5,8,Derecha
65,790000,4,7,6,Izquierda
47,1320000,6,6,5,Izquierda
76,350000,10,1,10,Derecha
53,580000,3,6,8,Izquierda
18,720000,6,6,6,Derecha
49,680000,6,6,7,Derecha
59,2740000,1,9,4,Izquierda
59,810000,2,8,6,Izquierda
54,1100000,5,8,7,Centro
21,1980000,7,5,3,Derecha
72,1140000,6,4,8,Derecha
41,1300000,4,6,6,Centro
34,1270000,6,5,10,Derecha
18,3000000,7,6,7,Centro
77,630000,4,6,6,Centro
43,460000,3,2,5,Centro
37,640000,3,3,4,Izquierda
41,1150000,5,5,7,Izquierda
23,500000,6,6,5,Centro
25,1270000,4,7,4,Izquierda
25,2880000,5,6,6,Izquierda
63,1360000,6,2,8,Derecha
29,1260000,10,1,8,Derecha
53,1330000,7,3,7,Derecha
37,710000,7,9,5,Izquierda
37,570000,3,3,7,Izquierda
47,470000,4,9,8,Izquierda
52,670000,6,5,5,Centro
36,1420000,3,6,4,Izquierda
28,2160000,4,7,4,Centro
44,1810000,6,5,5,Derecha
73,1770000,6,5,4,Centro
65,630000,4,4,2,Derecha
46,4460000,9,4,7,Derecha
28,1810000,1,10,5,Izquierda
29,1160000,5,6,6,Centro
47,5500000,6,6,5,Centro
62,940000,8,2,6,Derecha
61,550000,9,5,3,Centro
25,840000,5,4,8,Derecha
36,900000,7,6,6,Derecha
18,940000,3,10,2,Izquierda
60,1010000,8,4,8,Derecha
50,1790000,3,6,6,Izquierda
38,640000,6,10,8,Centro
58,1580000,4,7,3,Izquierda
25,490000,6,7,3,Centro
42,1020000,6,6,4,Centro
52,960000,8,3,7,Derecha
80,1640000,6,6,3,Izquierda
38,350000,4,7,5,Izquierda
34,2290000,9,6,4,Centro
47,1260000,7,4,8,Derecha
60,690000,7,7,4,Centro
37,1090000,3,5,7,Centro
41,950000,5,3,5,Centro
35,1420000,5,5,4,Centro
50,1180000,4,5,1,Izquierda
54,3230000,6,5,7,Derecha
41,1050000,3,8,5,Izquierda
18,1200000,5,4,2,Izquierda
19,1820000,10,2,9,Derecha
35,750000,4,5,6,Centro
32,1000000,5,3,3,Centro
48,780000,2,9,1,Izquierda
51,410000,5,7,7,Izquierda
31,1540000,5,6,3,Izquierda
39,3510000,6,5,7,Centro
40,1000000,5,6,4,Centro
18,2620000,1,7,3,Izquierda
62,960000,8,5,6,Derecha
61,2610000,7,7,7,Centro
31,1130000,6,5,9,Derecha
72,2400000,5,4,4,Centro
42,1670000,7,2,5,Derecha
37,1780000,8,6,8,Derecha
73,2850000,3,9,6,Izquierda
68,680000,3,4,5,Derecha
37,750000,4,7,2,Centro
33,880000,5,5,8,Derecha
65,1500000,8,3,5,Derecha
32,850000,7,5,3,Centro
64,1220000,2,4,5,Centro
50,910000,6,6,8,Centro
29,780000,7,6,6,Centro
32,1060000,4,8,5,Izquierda
34,1490000,5,5,5,Izquierda
29,570000,4,7,4,Izquierda
18,1360000,10,2,6,Derecha
66,1280000,2,6,5,Izquierda
36,3330000,6,9,4,Izquierda
74,3960000,5,2,5,Derecha
39,1380000,7,7,9,Derecha
46,1980000,4,4,2,Centro
38,420000,4,8,2,Izquierda
48,940000,9,3,7,Derecha
70,350000,5,5,5,Derecha
47,810000,4,6,5,Centro
37,980000,7,5,6,Derecha
52,2170000,7,8,4,Izquierda
62,1680000,4,4,6,Centro
69,410000,6,4,4,Derecha
42,2740000,8,5,6,Derecha
48,540000,4,7,4,Izquierda
33,350000,6,4,8,Derecha
55,2280000,4,3,5,Derecha
41,1890000,6,7,2,Izquierda
26,740000,7,9,8,Izquierda
62,750000,8,6,5,Centro
53,1970000,3,8,7,Centro
18,1010000,5,4,7,Izquierda
56,3020000,6,1,6,Derecha
